timestamp,equity
2025-01-06T00:00:00+00:00,100000.0
2025-01-07T00:00:00+00:00,99999.5
2025-01-08T00:00:00+00:00,99994.82
2025-01-10T00:00:00+00:00,99574.82
2025-01-13T00:00:00+00:00,99306.82
2025-01-14T00:00:00+00:00,99159.82
2025-01-15T00:00:00+00:00,99607.82
2025-01-16T00:00:00+00:00,99340.82
2025-01-17T00:00:00+00:00,99754.82
2025-01-21T00:00:00+00:00,100066.82
2025-01-22T00:00:00+00:00,100690.82
2025-01-23T00:00:00+00:00,100705.82
2025-01-24T00:00:00+00:00,100245.82
2025-01-27T00:00:00+00:00,97825.82
2025-01-28T00:00:00+00:00,98882.82
2025-01-29T00:00:00+00:00,98353.82
2025-01-30T00:00:00+00:00,98448.82
2025-01-31T00:00:00+00:00,97990.82
2025-02-03T00:00:00+00:00,97649.82
2025-02-04T00:00:00+00:00,97848.82
2025-02-05T00:00:00+00:00,98466.82
2025-02-06T00:00:00+00:00,98851.82
2025-02-07T00:00:00+00:00,98967.82
2025-02-10T00:00:00+00:00,99340.82
2025-02-11T00:00:00+00:00,99263.82
2025-02-12T00:00:00+00:00,99097.82
2025-02-13T00:00:00+00:00,99512.82
2025-02-14T00:00:00+00:00,99868.82
2025-02-18T00:00:00+00:00,99923.82
2025-02-19T00:00:00+00:00,99906.82
2025-02-20T00:00:00+00:00,99994.82
2025-02-21T00:00:00+00:00,99426.82
2025-02-24T00:00:00+00:00,99011.82
2025-02-25T00:00:00+00:00,98646.82
2025-02-26T00:00:00+00:00,99111.82
2025-02-27T00:00:00+00:00,97998.82
2025-02-28T00:00:00+00:00,98475.82
2025-03-03T00:00:00+00:00,97389.82
2025-03-04T00:00:00+00:00,97582.82
2025-03-05T00:00:00+00:00,97713.82
2025-03-06T00:00:00+00:00,97040.82
2025-03-07T00:00:00+00:00,97252.82
2025-03-10T00:00:00+00:00,96681.82
2025-03-11T00:00:00+00:00,96859.82
2025-03-12T00:00:00+00:00,97557.82
2025-03-13T00:00:00+00:00,97541.82
2025-03-14T00:00:00+00:00,98150.82
2025-03-17T00:00:00+00:00,97936.82
2025-03-18T00:00:00+00:00,97526.82
2025-03-19T00:00:00+00:00,97735.82
2025-03-20T00:00:00+00:00,97836.82
2025-03-21T00:00:00+00:00,97753.82
2025-03-24T00:00:00+00:00,98124.82
2025-03-25T00:00:00+00:00,98052.82
2025-03-26T00:00:00+00:00,97359.82
2025-03-27T00:00:00+00:00,97126.82
2025-03-28T00:00:00+00:00,96950.82
2025-03-31T00:00:00+00:00,96821.82
2025-04-01T00:00:00+00:00,96998.82
2025-04-02T00:00:00+00:00,97025.82
2025-04-03T00:00:00+00:00,96163.82
2025-04-04T00:00:00+00:00,95414.82
