timestamp,equity
2025-01-06T00:00:00+00:00,50000.0
2025-01-07T00:00:00+00:00,49999.95
2025-01-08T00:00:00+00:00,50004.51
2025-01-10T00:00:00+00:00,49887.09
2025-01-13T00:00:00+00:00,49813.21
2025-01-14T00:00:00+00:00,49768.02
2025-01-15T00:00:00+00:00,49997.26
2025-01-16T00:00:00+00:00,49420.25
2025-01-17T00:00:00+00:00,49540.35
2025-01-21T00:00:00+00:00,48953.07
2025-01-22T00:00:00+00:00,49059.91
2025-01-23T00:00:00+00:00,49042.84
2025-01-24T00:00:00+00:00,48945.58
2025-01-27T00:00:00+00:00,49794.69
2025-01-28T00:00:00+00:00,50886.48
2025-01-29T00:00:00+00:00,51040.28
2025-01-30T00:00:00+00:00,50774.37
2025-01-31T00:00:00+00:00,50519.82
