timestamp,equity
2025-01-06T00:00:00+00:00,100000.0
2025-01-06T05:00:00+00:00,100000.0
2025-01-07T00:00:00+00:00,99999.5
2025-01-07T05:00:00+00:00,99999.5
2025-01-08T00:00:00+00:00,99994.82
2025-01-08T05:00:00+00:00,99994.82
2025-01-10T00:00:00+00:00,99574.82
2025-01-10T05:00:00+00:00,99574.82
2025-01-13T00:00:00+00:00,99306.82
2025-01-13T05:00:00+00:00,99306.82
2025-01-14T00:00:00+00:00,99159.82
2025-01-14T05:00:00+00:00,99159.82
2025-01-15T00:00:00+00:00,99607.82
2025-01-15T05:00:00+00:00,99607.82
2025-01-16T00:00:00+00:00,99340.82
2025-01-16T05:00:00+00:00,99340.82
2025-01-17T00:00:00+00:00,99754.82
2025-01-17T05:00:00+00:00,99754.82
